,R总对数,R,距离r,距离r的平方
253,528.0,0.597872415441138,102.04410811016969,10413.0
254,352.0,0.6072761214911863,102.07840124139877,10420.0
255,176.0,0.6242027923812744,102.12247548899312,10429.0
256,860.0,0.5366158597429906,104.00480758118829,10817.0
257,688.0,0.537193203556296,104.01922899156675,10820.0
258,516.0,0.5420044020005046,104.04326023342406,10825.0
259,344.0,0.5516267988889262,104.0768946500615,10832.0
260,172.0,0.5689471132880859,104.12012293500234,10841.0
261,840.0,0.47795916608476796,106.00471687618433,11237.0
262,672.0,0.4785502561793407,106.01886624558857,11240.0
263,504.0,0.48347600696746035,106.04244433244644,11245.0
264,336.0,0.49332750854370183,106.07544484940895,11252.0
265,168.0,0.5110602113809362,106.1178590059185,11261.0
266,820.0,0.41644117029687416,108.00462953040486,11665.0
267,656.0,0.41704667722302186,108.01851693112621,11668.0
268,492.0,0.42209256827426744,108.04165863221463,11673.0
269,328.0,0.43218435037675945,108.07404868885037,11680.0
270,164.0,0.45034955816124267,108.11567878897121,11689.0
271,800.0,0.35184727471958555,110.00454536063498,12101.0
272,640.0,0.3524679193188883,110.01818031580054,12104.0
273,480.0,0.35763995764641554,110.04090148667449,12109.0
274,320.0,0.3679840343014693,110.07270324653611,12116.0
275,160.0,0.38660337228056435,110.11357772772621,12125.0
276,780.0,0.2839408716767958,112.0044641967453,12545.0
277,624.0,0.2845774302401844,112.01785571952357,12548.0
278,468.0,0.28988208493508416,112.04017136723775,12553.0
279,312.0,0.30049139432488203,112.0714058089752,12560.0
280,156.0,0.3195881512265177,112.11155159036913,12569.0
281,760.0,0.212460447421229,114.00438588054409,12997.0
282,608.0,0.21311375752575948,114.0175425099138,13000.0
283,456.0,0.21855800839684011,114.03946685248927,13005.0
284,304.0,0.22944651013900078,114.0701538527936,13012.0
285,152.0,0.24904581327488962,114.10959644131601,13021.0
286,740.0,0.13711621644914487,116.00431026474836,13457.0
287,592.0,0.1377871835835269,116.01724009818541,13460.0
288,444.0,0.14337857637004212,116.03878661895772,13465.0
289,296.0,0.1545613619430719,116.06894502837527,13472.0
290,148.0,0.17469037597452486,116.1077086157504,13481.0
291,720.0,0.05758619486749981,118.00423721205946,13925.0
292,576.0,0.058275799977836974,118.01694793545543,13928.0
293,432.0,0.0640225092306441,118.03812943282352,13933.0
294,288.0,0.0755159277362577,118.06777714516353,13940.0
295,144.0,0.09620408104636217,118.10588469674151,13949.0
296,700.0,-0.026488399375953688,120.00416659433121,14401.0
297,560.0,-0.02577909126246373,120.01666550941998,14404.0
298,420.0,-0.01986819031671943,120.03749414245534,14409.0
299,280.0,-0.008046388425231319,120.06664815842908,14416.0
300,140.0,0.013232854979447426,120.10412149464314,14425.0
301,680.0,-0.11550855798667017,122.00409829181969,14885.0
302,544.0,-0.11477838786984214,122.01639234135715,14888.0
303,408.0,-0.10869363689628142,122.03687967167957,14893.0
304,272.0,-0.09652413494916089,122.06555615733703,14900.0
305,136.0,-0.07461903144434462,122.10241602851272,14909.0
306,660.0,-0.20992387772530968,124.00403219250575,15377.0
307,528.0,-0.209171581241305,124.01612798341996,15380.0
308,396.0,-0.20290244387460532,124.03628501370073,15385.0
